ticker,name,sector,current_price,score,regime,leverage,signal,signal_strength,entry_price,take_profit,trailing_stop,position_size_pct,recommendation,details
1180.SR,Al Rajhi Bank,Banks,43.5,69.7,BULL,1.5,MOMENTUM_ENTRY,0.67,43.59,54.48,40.54,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(89.7), 'volatility': np.float64(53.6), 'volume': np.float64(61.4), 'rsi': 20, 'trend': np.float64(97.6), 'beta': 80}, 'rsi': np.float64(62.2), 'momentum': np.float64(7.94), 'volatility': np.float64(23.18), 'volume_ratio': np.float64(1.54), 'ma_50': np.float64(39.83), 'trend_strength': np.float64(9.22)}"
1010.SR,Riyad Bank,Banks,28.76,66.2,BULL,1.5,MOMENTUM_ENTRY,0.67,28.82,36.02,26.8,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(85.8), 'volatility': np.float64(60.7), 'volume': np.float64(46.3), 'rsi': 20, 'trend': np.float64(90.2), 'beta': 80}, 'rsi': np.float64(73.8), 'momentum': np.float64(7.15), 'volatility': np.float64(19.65), 'volume_ratio': np.float64(1.16), 'ma_50': np.float64(26.94), 'trend_strength': np.float64(6.74)}"
1050.SR,Banque Saudi Fransi,Banks,18.0,63.7,BULL,1.5,MOMENTUM_ENTRY,1.0,18.04,22.54,16.77,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(79.1), 'volatility': np.float64(64.2), 'volume': np.float64(21.5), 'rsi': 40, 'trend': np.float64(85.2), 'beta': 80}, 'rsi': np.float64(53.1), 'momentum': np.float64(5.82), 'volatility': np.float64(17.88), 'volume_ratio': np.float64(0.54), 'ma_50': np.float64(17.13), 'trend_strength': np.float64(5.08)}"
1060.SR,Saudi Awwal Bank,Banks,35.8,66.3,BULL,1.5,MOMENTUM_ENTRY,0.67,35.87,44.84,33.36,9.0,BUY,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(70.7), 'volume': np.float64(30.8), 'rsi': 20, 'trend': np.float64(95.2), 'beta': 60}, 'rsi': np.float64(78.4), 'momentum': np.float64(11.74), 'volatility': np.float64(14.65), 'volume_ratio': np.float64(0.77), 'ma_50': np.float64(33.02), 'trend_strength': np.float64(8.4)}"
1080.SR,Arab National Bank,Banks,21.5,62.6,BULL,1.5,MOMENTUM_ENTRY,0.67,21.54,26.93,20.03,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(68.5), 'volatility': np.float64(55.8), 'volume': np.float64(51.1), 'rsi': 40, 'trend': np.float64(74.2), 'beta': 80}, 'rsi': np.float64(58.5), 'momentum': np.float64(3.71), 'volatility': np.float64(22.08), 'volume_ratio': np.float64(1.28), 'ma_50': np.float64(21.2), 'trend_strength': np.float64(1.41)}"
1120.SR,Al Jazira Bank,Banks,107.0,64.5,BULL,1.5,MOMENTUM_ENTRY,0.67,107.21,134.02,99.71,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(86.1), 'volatility': np.float64(59.8), 'volume': np.float64(34.9), 'rsi': 20, 'trend': np.float64(90.4), 'beta': 80}, 'rsi': np.float64(66.2), 'momentum': np.float64(7.21), 'volatility': np.float64(20.1), 'volume_ratio': np.float64(0.87), 'ma_50': np.float64(100.18), 'trend_strength': np.float64(6.81)}"
1140.SR,Bank Albilad,Banks,26.66,70.7,BULL,1.5,MOMENTUM_ENTRY,0.67,26.71,33.39,24.84,10.0,BUY,"{'score_breakdown': {'momentum': np.float64(91.4), 'volatility': np.float64(51.4), 'volume': np.float64(83.6), 'rsi': 20, 'trend': np.float64(85.7), 'beta': 80}, 'rsi': np.float64(75.9), 'momentum': np.float64(8.29), 'volatility': np.float64(24.31), 'volume_ratio': np.float64(2.09), 'ma_50': np.float64(25.33), 'trend_strength': np.float64(5.23)}"
1150.SR,Alinma Bank,Banks,28.54,66.3,BULL_HIGH_VOL,1.05,MOMENTUM_ENTRY,0.67,28.6,35.75,26.6,6.3,BUY,"{'score_breakdown': {'momentum': 100, 'volatility': np.float64(46.3), 'volume': np.float64(29.2), 'rsi': 20, 'trend': 100, 'beta': 80}, 'rsi': np.float64(69.8), 'momentum': np.float64(13.34), 'volatility': np.float64(26.86), 'volume_ratio': np.float64(0.73), 'ma_50': np.float64(25.54), 'trend_strength': np.float64(11.74)}"
7010.SR,STC,Telecom,44.28,58.5,BULL,1.5,MOMENTUM_ENTRY,0.67,44.37,55.46,41.26,6.0,HOLD,"{'score_breakdown': {'momentum': np.float64(66.3), 'volatility': np.float64(72.9), 'volume': np.float64(26.0), 'rsi': 40, 'trend': np.float64(77.2), 'beta': 60}, 'rsi': np.float64(54.1), 'momentum': np.float64(3.26), 'volatility': np.float64(13.56), 'volume_ratio': np.float64(0.65), 'ma_50': np.float64(43.24), 'trend_strength': np.float64(2.4)}"
7020.SR,Mobily,Telecom,68.2,63.9,BULL,1.5,MOMENTUM_ENTRY,1.0,68.34,85.42,63.55,9.0,BUY,"{'score_breakdown': {'momentum': np.float64(77.5), 'volatility': np.float64(58.1), 'volume': np.float64(42.8), 'rsi': 40, 'trend': np.float64(76.2), 'beta': 80}, 'rsi': np.float64(59.4), 'momentum': np.float64(5.49), 'volatility': np.float64(20.95), 'volume_ratio': np.float64(1.07), 'ma_50': np.float64(66.81), 'trend_strength': np.float64(2.08)}"
